Vessel Name,ETA,Discharged Terminal Name,Container Number,Customs Clearance Status,Container Discharge Date Time,Container Inspection Status,Container Stay In Terminal Charge Up To Date,Container Gate Out Date Time,Storage Charges Amount (AED)
MSC GAYANE,2026-08-25 14:00,ADT,ZIMU2995870,cleared,2026-08-25 19:00,Released,2026-09-02,,5670
CMA CGM JULES VERNE,2026-08-10 18:15,CSP,TCLU8580255,cleared,2026-08-11 04:15,Released,2026-08-15,2026-08-18 23:15,440
PIL EXPRESS,2026-08-20 08:30,CMA,OOLU6110622,cleared,2026-08-21 05:30,Released,2026-08-27,,8730
COSCO SHIPPING UNIVERSE,2026-08-17 03:45,CMA,HMMU8508103,cleared,2026-08-17 15:45,OnHold,2026-08-24,,10190
SEALAND MICHIGAN,2026-08-28 18:15,ADT,OOLU7053918,cleared,2026-08-29 15:15,Released,2026-09-06,2026-09-02 02:15,0
CMA CGM ANTOINE DE SAINT EXUPERY,2026-08-16 12:45,CMA,MSCU5098175,cleared,2026-08-17 15:45,Released,2026-08-25,,9550
MSC ISABELLA,2026-08-28 12:45,CSP,CSNU7418210,cleared,2026-08-29 15:45,Released,2026-09-08,2026-09-06 17:45,0
HAPAG LLOYD BERLIN,2026-08-24 03:30,CMA,CMAU4761145,cleared,2026-08-24 07:30,Released,2026-09-03,2026-09-01 13:30,0
OOCL HONG KONG,2026-08-13 10:00,CMA,HMMU3768844,pending,2026-08-13 13:00,Released,2026-08-18,,13710
MSC OSCAR,2026-08-28 00:15,ADT,CSNU6953166,pending,2026-08-29 00:15,OnHold,2026-09-07,,3420
CMA CGM ANTOINE DE SAINT EXUPERY,2026-08-31 09:45,ADT,ONEY0093026,pending,2026-08-31 18:45,Released,2026-09-05,,4670
ONE STORK,2026-08-24 13:00,CMA,CSNU0842524,pending,2026-08-25 05:00,Released,2026-08-30,,7530
COSCO SHIPPING ARIES,2026-08-27 05:45,CMA,PILU7425149,pending,2026-08-28 09:45,OnHold,2026-09-05,,4350
HAPAG LLOYD BERLIN,2026-08-15 13:30,CMA,FCIU7550917,cleared,2026-08-16 15:30,Released,2026-08-26,2026-08-22 10:30,0
WAN HAI 307,2026-09-09 08:00,CMA,APLU4606980,pending,,,,,0
ONE STORK,2026-08-17 16:00,CSP,APLU4558623,pending,2026-08-17 22:00,OnHold,2026-08-22,,10120
ONE STORK,2026-09-08 19:00,ADT,OOLU1077581,pending,,,,,0
MSC ISABELLA,2026-08-08 12:45,CMA,CSNU6975534,pending,2026-08-09 02:45,Released,2026-08-19,,12250
ONE STORK,2026-08-07 17:30,ADT,SEAU8002392,cleared,2026-08-08 19:30,Released,2026-08-15,2026-08-18 03:30,490
ADNOC AL DHAFRA,2026-08-14 14:45,CSP,APLU8191131,cleared,2026-08-15 07:45,OnHold,2026-08-19,,11780
COSCO SHIPPING ARIES,2026-09-15 20:00,CMA,SEAU2768991,pending,,,,,0
ONE COLUMBA,2026-08-26 00:00,CMA,MSCU6610562,cleared,2026-08-26 04:00,OnHold,2026-09-04,,4780
ZIM VIRGINIA,2026-08-19 16:15,ADT,MAEU4364698,pending,2026-08-20 08:15,OnHold,2026-08-26,,8610
CMA CGM ANTOINE DE SAINT EXUPERY,2026-08-09 21:00,CSP,TCLU4232413,pending,2026-08-10 22:00,Released,2026-08-18,,11380
MAERSK ESSEX,2026-08-31 06:15,ADT,CMAU0675419,cleared,2026-08-31 14:15,OnHold,2026-09-10,,2420
ONE COLUMBA,2026-08-28 09:15,ADT,ONEY7945036,cleared,2026-08-29 01:15,OnHold,2026-09-07,,3330
MAERSK ESSEX,2026-08-16 09:00,ADT,COSU2747534,pending,2026-08-16 20:00,OnHold,2026-08-24,,10150
CMA CGM ANTOINE DE SAINT EXUPERY,2026-08-26 04:15,CSP,OOLU1275009,cleared,2026-08-26 09:15,OnHold,2026-09-04,,5110
COSCO SHIPPING ARIES,2026-08-08 17:45,CMA,COSU9494772,cleared,2026-08-09 16:45,Released,2026-08-15,,12660
MAERSK SEMBAWANG,2026-08-22 09:45,CSP,MSCU7047416,cleared,2026-08-22 22:45,Released,2026-08-31,,7170
ZIM VIRGINIA,2026-08-13 05:30,CMA,ONEY7306261,cleared,2026-08-14 02:30,Released,2026-08-24,2026-08-20 01:30,0
BAL EAGLE,2026-08-31 00:30,CSP,CSNU7307727,cleared,2026-08-31 12:30,Released,2026-09-10,,2540
CMA CGM MARCO POLO,2026-08-31 20:45,CSP,CSNU4091349,pending,2026-09-01 08:45,OnHold,2026-09-05,,4390
MSC ISABELLA,2026-08-18 14:30,ADT,FCIU3558780,cleared,2026-08-19 00:30,Released,2026-08-27,2026-08-26 17:30,0
YM WORLD,2026-08-13 08:15,CMA,MSCU8667566,cleared,2026-08-14 09:15,OnHold,2026-08-21,,11120
BAL EAGLE,2026-08-21 06:00,ADT,FCIU8234615,cleared,2026-08-21 17:00,Released,2026-08-26,,8730
OOCL HONG KONG,2026-08-24 22:30,CSP,WHLU7939993,pending,2026-08-25 13:30,OnHold,2026-09-03,,5350
MAERSK ESSEX,2026-09-06 14:00,CMA,CSNU4545223,pending,,,,,0
OOCL HONG KONG,2026-08-11 05:15,ADT,OOLU5294016,cleared,2026-08-11 13:15,Released,2026-08-16,,14040
YM WORLD,2026-08-13 15:15,CMA,HMMU1686548,cleared,2026-08-14 04:15,Released,2026-08-19,,11570
ONE STORK,2026-08-08 07:30,CMA,ONEY4602180,cleared,2026-08-09 07:30,OnHold,2026-08-14,,14690
BAL EAGLE,2026-08-25 15:45,CSP,COSU0205779,cleared,2026-08-26 08:45,Released,2026-09-02,,5570
MAERSK GIBRALTAR,2026-08-09 18:45,CSP,FCIU1914064,cleared,2026-08-09 22:45,OnHold,2026-08-17,,13290
MAERSK GIBRALTAR,2026-08-16 08:15,ADT,ONEY9442881,cleared,2026-08-16 13:15,Released,2026-08-24,,10320
MSC OSCAR,2026-08-19 20:45,CMA,APLU8767312,cleared,2026-08-20 07:45,Released,2026-08-30,2026-08-26 19:45,0
APL TEMASEK,2026-08-31 12:15,CSP,MAEU1664863,pending,2026-08-31 22:15,OnHold,2026-09-09,,2700
OOCL HONG KONG,2026-08-07 19:45,ADT,CMAU2626181,cleared,2026-08-08 19:45,Released,2026-08-16,2026-08-14 01:45,0
HMM ALGECIRAS,2026-08-29 15:45,ADT,APLU4833597,cleared,2026-08-29 19:45,Released,2026-09-07,,3310
YM WORLD,2026-08-10 23:15,CMA,OOLU7132648,cleared,2026-08-11 21:15,Released,2026-08-16,2026-08-21 19:15,710
ONE COLUMBA,2026-08-17 01:30,ADT,MAEU2783722,cleared,2026-08-17 17:30,Released,2026-08-21,2026-08-22 22:30,160
ONE STORK,2026-08-24 21:45,CSP,ZIMU8396529,pending,2026-08-25 01:45,Released,2026-09-02,,5220
APL TEMASEK,2026-08-07 08:15,CMA,PILU4200476,pending,2026-08-08 07:15,Released,2026-08-18,,13400
X-PRESS PEARL,2026-08-08 11:45,ADT,ZIMU9667820,cleared,2026-08-09 05:45,Released,2026-08-18,,12360
YM WORLD,2026-08-09 21:30,ADT,TCLU8249789,cleared,2026-08-10 12:30,Released,2026-08-16,,12920
COSCO SHIPPING UNIVERSE,2026-09-13 21:00,ADT,PILU6906258,pending,,,,,0
HMM ALGECIRAS,2026-08-08 20:00,CMA,SEAU9229089,cleared,2026-08-09 08:00,OnHold,2026-08-15,,13360
BAL EAGLE,2026-08-21 19:00,CSP,MSCU9103209,cleared,2026-08-22 03:00,Released,2026-08-30,2026-08-26 05:00,0
MSC OSCAR,2026-08-13 14:15,CSP,CSNU0865901,pending,2026-08-14 01:15,OnHold,2026-08-21,,12000
WAN HAI 307,2026-08-29 11:30,ADT,MSCU4014745,cleared,2026-08-30 06:30,Released,2026-09-03,2026-09-05 09:30,290
OOCL HONG KONG,2026-08-27 10:45,ADT,CSNU1970754,cleared,2026-08-28 10:45,Released,2026-09-03,,5310
YM WORLD,2026-08-14 20:15,CSP,FCIU7922533,cleared,2026-08-15 10:15,Released,2026-08-20,2026-08-22 01:15,300
ONE COLUMBA,2026-08-17 22:30,ADT,ZIMU6961578,pending,2026-08-19 02:30,OnHold,2026-08-23,,9800
HMM ALGECIRAS,2026-08-21 23:45,CMA,FCIU2493017,cleared,2026-08-22 12:45,Released,2026-08-28,,8080
SEALAND MICHIGAN,2026-08-14 04:15,CSP,CSNU5398528,pending,2026-08-15 00:15,OnHold,2026-08-22,,10130
BAL EAGLE,2026-08-30 21:45,CSP,MAEU5338112,pending,2026-08-31 11:45,Released,2026-09-09,,3120
MAERSK SEMBAWANG,2026-08-11 22:30,ADT,FCIU0621086,pending,2026-08-13 03:30,Released,2026-08-17,,13920
ZIM VIRGINIA,2026-08-30 10:45,ADT,CSNU0257489,pending,2026-08-31 15:45,Released,2026-09-09,,3230
CMA CGM MARCO POLO,2026-08-27 04:45,CSP,ZIMU5680114,cleared,2026-08-28 02:45,Released,2026-09-01,,6640
COSCO SHIPPING ARIES,2026-09-13 04:00,CMA,SEAU5312692,pending,,,,,0
BAL EAGLE,2026-08-15 02:30,CSP,MAEU1147909,pending,2026-08-15 11:30,OnHold,2026-08-24,,9000
COSCO SHIPPING UNIVERSE,2026-08-13 04:30,CMA,COSU7443690,cleared,2026-08-14 10:30,Released,2026-08-18,2026-08-15 03:30,0
